Restaurant,Businessdate,RecordType,RecordDescription,RecordValue
DR07386,2024-02-28,FCLO,Closing Manager,
DR07386,2024-02-28,FCOM,Closing Date,2024-02-28
DR07386,2024-02-28,FFIN,Tax Exempt Sales,0.00
DR07386,2024-02-28,FFIN,Voided Items,0.00
DR07386,2024-02-28,FFIN,Voids,35.66
DR07386,2024-02-28,FFIN,CC Tips,357.56
DR07386,2024-02-28,FFIN,Cash Paid Out,0.00
DR07386,2024-02-28,FFIN,Credit Tips In,357.56
DR07386,2024-02-28,FFIN,OVER/SHORT,-24.30
DR07386,2024-02-28,FFIN,Credit Tips Paid Out,441.11
DR07386,2024-02-28,FSAL,INCL TAX,0.65
DR07386,2024-02-28,FSAL,Premium,9.98
DR07386,2024-02-28,FSAL,Beer,9.00
DR07386,2024-02-28,FSAL,Desserts,1.79
DR07386,2024-02-28,FSAL,Food,5423.51
DR07386,2024-02-28,FSAL,EXCL TAX,423.98
DR07386,2024-02-28,FTEN,UBER EATS VRM,16.78
DR07386,2024-02-28,FTEN,VISA/MC/DISV,3817.22
DR07386,2024-02-28,FTEN,WEBPAYMENT,77.65
DR07386,2024-02-28,FTEN,UBER EATS,82.17
DR07386,2024-02-28,FTEN,DOORDASH VRB,22.81
DR07386,2024-02-28,FTEN,DOOR DASH,369.13
DR07386,2024-02-28,FTEN,DOORDASH VRM,135.10
DR07386,2024-02-28,FTEN,QR PAY,167.11
DR07386,2024-02-28,FTEN,GIFT CARD,25.00
DR07386,2024-02-28,FADJ,Promos,43.55
DR07386,2024-02-28,FADJ,Rewards - In Store,7.79
DR07386,2024-02-28,FADJ,Walk Out,59.53
DR07386,2024-02-28,FADJ,% Unscannable,4.85
DR07386,2024-02-28,FADJ,AARP 15% 1 88881171,97.64
DR07386,2024-02-28,FADJ,EMP MEAL DIS,40.74
DR07386,2024-02-28,FADJ,MGR Meals,34.55
DR07386,2024-02-28,FADJ,Military Discount,7.44
DR07386,2024-02-28,FDEP,Deposit Date: 2024-02-29,752.00
DR07386,2024-02-28,FSFT,Lunch Sales,1196.28
DR07386,2024-02-28,FSFT,Lunch GC,70
DR07386,2024-02-28,FSFT,Total Sales,5444.28
DR07386,2024-02-28,FSFT,Total GC,318
DR07386,2024-02-28,FSFT,Dinner GC,86
DR07386,2024-02-28,FSFT,Breakfast GC,112
DR07386,2024-02-28,FSFT,Breakfast Sales,1953.38
DR07386,2024-02-28,FSFT,Late Night Sales,902.09
DR07386,2024-02-28,FSFT,Late Night GC,50
DR07386,2024-02-28,FSFT,Dinner Sales,1392.53
DR07386,2024-02-28,FMSL,Entree Count,348
DR07386,2024-02-28,FMSL,No Sale Count,0
DR07386,2024-02-28,FMSL,Carry-Out Sales Amt,791.50
DR07386,2024-02-28,FMSL,Carry-Out Count,48
DR07386,2024-02-28,FMSL,Dine-In Sales Amt,4356.69
DR07386,2024-02-28,FMSL,Dine-In Count,270
DR07386,2024-02-28,FDST,ONLINE,118.17
DR07386,2024-02-28,FDST,VR MELTS,140.29
DR07386,2024-02-28,FDST,CARRY OUT,95.07
DR07386,2024-02-28,FDST,BURGER DEN,21.07
DR07386,2024-02-28,FDST,DINE IN,4356.69
DR07386,2024-02-28,FDST,DELIVERY,416.90
DR09627,2024-02-28,FCLO,Closing Manager,
DR09627,2024-02-28,FCOM,Closing Date,2024-02-28
DR09627,2024-02-28,FFIN,Voids,0.00
DR09627,2024-02-28,FFIN,Voided Items,7.98
DR09627,2024-02-28,FFIN,CC Tips,241.90
DR09627,2024-02-28,FFIN,Cash Paid Out,0.00
DR09627,2024-02-28,FFIN,Credit Tips Paid Out,247.06
DR09627,2024-02-28,FFIN,Credit Tips In,241.90
DR09627,2024-02-28,FFIN,Tax Exempt Sales,0.00
DR09627,2024-02-28,FFIN,OVER/SHORT,3.11
DR09627,2024-02-28,FSAL,INCL TAX,4.25
DR09627,2024-02-28,FSAL,Liquor,25.00
DR09627,2024-02-28,FSAL,Food,4973.82
DR09627,2024-02-28,FSAL,Beer,30.00
DR09627,2024-02-28,FSAL,Delivery,13.98
DR09627,2024-02-28,FSAL,EXCL TAX,452.42
DR09627,2024-02-28,FSAL,Driver Tips,5.01
DR09627,2024-02-28,FTEN,VISA/MC/DISV,3421.45
DR09627,2024-02-28,FTEN,WEBPAYMENT,184.83
DR09627,2024-02-28,FTEN,GIFT CARD,41.19
DR09627,2024-02-28,FTEN,DOOR DASH,123.05
DR09627,2024-02-28,FTEN,GOOGLE FOOD,32.64
DR09627,2024-02-28,FTEN,QR PAY,183.70
DR09627,2024-02-28,FADJ,Rewards - In Store,5.00
DR09627,2024-02-28,FADJ,Rewards - Online,3.55
DR09627,2024-02-28,FADJ,Community Open %,25.66
DR09627,2024-02-28,FADJ,AARP 15% 1 88881171,21.21
DR09627,2024-02-28,FADJ,EMP MEAL DIS,5.49
DR09627,2024-02-28,FADJ,Promos,10.27
DR09627,2024-02-28,FADJ,Military Discount,6.39
DR09627,2024-02-28,FDEP,Deposit Date: 2024-02-29,1438.00
DR09627,2024-02-28,FSFT,Lunch Sales,933.49
DR09627,2024-02-28,FSFT,Total GC,320
DR09627,2024-02-28,FSFT,Total Sales,5047.81
DR09627,2024-02-28,FSFT,Breakfast Sales,2375.23
DR09627,2024-02-28,FSFT,Breakfast GC,154
DR09627,2024-02-28,FSFT,Dinner GC,105
DR09627,2024-02-28,FSFT,Lunch GC,61
DR09627,2024-02-28,FSFT,Dinner Sales,1739.09
DR09627,2024-02-28,FMSL,No Sale Count,0
DR09627,2024-02-28,FMSL,Carry-Out Count,36
DR09627,2024-02-28,FMSL,Entree Count,348
DR09627,2024-02-28,FMSL,Carry-Out Sales Amt,486.12
DR09627,2024-02-28,FMSL,Dine-In Count,284
DR09627,2024-02-28,FMSL,Dine-In Sales Amt,4466.07
DR09627,2024-02-28,FDST,ONLINE,115.67
DR09627,2024-02-28,FDST,DINE IN,4466.07
DR09627,2024-02-28,FDST,DELIVERY,112.66
DR09627,2024-02-28,FDST,CARRY OUT,203.76
DR09627,2024-02-28,FDST,DISPATCH,54.03
